type,latitude,longitude,altitude (m),name
T,12.919486769,77.642675960,878.6,
T,12.919494714,77.642682211,878.6,
T,12.919502658,77.642688462,878.6,
T,12.919510603,77.642694714,878.6,
T,12.919518548,77.642700965,878.7,
T,12.919526492,77.642707216,878.7,
T,12.919534437,77.642713467,878.7,
T,12.919542382,77.642719719,878.7,
T,12.919550327,77.642725970,878.7,
T,12.919558271,77.642732221,878.7,
T,12.919566216,77.642738472,878.7,
T,12.919574161,77.642744724,878.7,
T,12.919582106,77.642750975,878.8,
T,12.919590050,77.642757226,878.8,
T,12.919597995,77.642763477,878.8,
T,12.919605940,77.642769729,878.8,
T,12.919613884,77.642775980,878.8,
T,12.919621829,77.642782231,878.8,
T,12.919629774,77.642788482,878.8,
T,12.919637719,77.642794734,878.8,
T,12.919645663,77.642800985,878.8,
T,12.919653608,77.642807236,878.8,
T,12.919661553,77.642813487,878.8,
T,12.919669497,77.642819739,878.8,
T,12.919677442,77.642825990,878.8,
T,12.919685387,77.642832241,878.9,
T,12.919693332,77.642838492,878.9,
T,12.919701276,77.642844744,878.9,
T,12.919709221,77.642850995,878.9,
T,12.919717166,77.642857246,878.9,
T,12.919725111,77.642863497,878.9,
T,12.919733055,77.642869749,878.9,
T,12.919741000,77.642876000,878.9,
T,12.918148250,77.641650750,878.5,
T,12.918156241,77.641657008,878.4,
T,12.918164232,77.641663265,878.4,
T,12.918172224,77.641669523,878.4,
T,12.918180215,77.641675780,878.4,
T,12.918188206,77.641682038,878.4,
T,12.918196197,77.641688295,878.4,
T,12.918204188,77.641694553,878.4,
T,12.918212180,77.641700810,878.4,
T,12.918220171,77.641707068,878.4,
T,12.918228162,77.641713325,878.4,
T,12.918236153,77.641719583,878.3,
T,12.918244144,77.641725840,878.3,
T,12.918252136,77.641732098,878.3,
T,12.918260127,77.641738356,878.3,
T,12.918268118,77.641744613,878.3,
T,12.918276109,77.641750871,878.3,
T,12.918284101,77.641757128,878.3,
T,12.918292092,77.641763386,878.3,
T,12.918300083,77.641769643,878.3,
T,12.918308074,77.641775901,878.3,
T,12.918316065,77.641782158,878.3,
T,12.918324057,77.641788416,878.3,
T,12.918332048,77.641794673,878.3,
T,12.918340039,77.641800931,878.3,
T,12.918348030,77.641807188,878.3,
T,12.918356021,77.641813446,878.3,
T,12.918364013,77.641819704,878.3,
T,12.918372004,77.641825961,878.3,
T,12.918379995,77.641832219,878.3,
T,12.918387986,77.641838476,878.3,
T,12.918395977,77.641844734,878.3,
T,12.918403969,77.641850991,878.3,
T,12.918411960,77.641857249,878.3,
T,12.918419951,77.641863506,878.3,
T,12.918427942,77.641869764,878.3,
T,12.918435933,77.641876021,878.3,
T,12.918443925,77.641882279,878.3,
T,12.918451916,77.641888536,878.2,
T,12.918459907,77.641894794,878.2,
T,12.918467898,77.641901052,878.2,
T,12.918475889,77.641907309,878.2,
T,12.918483881,77.641913567,878.2,
T,12.918491872,77.641919824,878.2,
T,12.918499863,77.641926082,878.2,
T,12.918507854,77.641932339,878.2,
T,12.918515845,77.641938597,878.2,
T,12.918523837,77.641944854,878.2,
T,12.918531828,77.641951112,878.2,
T,12.918539819,77.641957369,878.2,
T,12.918547810,77.641963627,878.2,
T,12.918555802,77.641969884,878.2,
T,12.918563793,77.641976142,878.2,
T,12.918571784,77.641982399,878.2,
T,12.918579775,77.641988657,878.2,
T,12.918587766,77.641994915,878.2,
T,12.918595758,77.642001172,878.2,
T,12.918603749,77.642007430,878.2,
T,12.918611740,77.642013687,878.2,
T,12.918619731,77.642019945,878.2,
T,12.918627722,77.642026202,878.2,
T,12.918635714,77.642032460,878.2,
T,12.918643705,77.642038717,878.1,
T,12.918651696,77.642044975,878.1,
T,12.918659687,77.642051232,878.1,
T,12.918667678,77.642057490,878.1,
T,12.918675670,77.642063747,878.1,
T,12.918683661,77.642070005,878.1,
T,12.918691652,77.642076263,878.1,
T,12.918699643,77.642082520,878.1,
T,12.918707634,77.642088778,878.1,
T,12.918715626,77.642095035,878.1,
T,12.918723617,77.642101293,878.1,
T,12.918731608,77.642107550,878.1,
T,12.918739599,77.642113808,878.1,
T,12.918747590,77.642120065,878.1,
T,12.918755582,77.642126323,878.1,
T,12.918763573,77.642132580,878.1,
T,12.918771564,77.642138838,878.1,
T,12.918779555,77.642145095,878.1,
T,12.918787546,77.642151353,878.1,
T,12.918795538,77.642157611,878.1,
T,12.918803529,77.642163868,878.1,
T,12.918811520,77.642170126,878.1,
T,12.918819511,77.642176383,878.1,
T,12.918827503,77.642182641,878.1,
T,12.918835494,77.642188898,878.0,
T,12.918843485,77.642195156,878.0,
T,12.918851476,77.642201413,878.0,
T,12.918859467,77.642207671,878.0,
T,12.918867459,77.642213928,878.0,
T,12.918875450,77.642220186,878.0,
T,12.918883441,77.642226443,878.0,
T,12.918891432,77.642232701,878.0,
T,12.918899423,77.642238959,878.0,
T,12.918907415,77.642245216,878.0,
T,12.918915406,77.642251474,878.0,
T,12.918923397,77.642257731,878.0,
T,12.918931388,77.642263989,878.0,
T,12.918939379,77.642270246,878.0,
T,12.918947371,77.642276504,878.0,
T,12.918955362,77.642282761,878.0,
T,12.918963353,77.642289019,878.0,
T,12.918971344,77.642295276,878.0,
T,12.918979335,77.642301534,878.0,
T,12.918987327,77.642307791,878.0,
T,12.918995318,77.642314049,878.0,
T,12.919003309,77.642320307,878.0,
T,12.919011300,77.642326564,878.0,
T,12.919019291,77.642332822,878.0,
T,12.919027283,77.642339079,877.9,
T,12.919035274,77.642345337,877.9,
T,12.919043265,77.642351594,877.9,
T,12.919051256,77.642357852,877.9,
T,12.919059247,77.642364109,877.9,
T,12.919067239,77.642370367,877.9,
T,12.919075230,77.642376624,877.9,
T,12.919083221,77.642382882,877.9,
T,12.919091212,77.642389139,877.9,
T,12.919099204,77.642395397,877.9,
T,12.919107195,77.642401655,877.9,
T,12.919115186,77.642407912,877.9,
T,12.919123177,77.642414170,877.9,
T,12.919131168,77.642420427,877.9,
T,12.919139160,77.642426685,877.9,
T,12.919147151,77.642432942,877.9,
T,12.919155142,77.642439200,877.9,
T,12.919163133,77.642445457,877.9,
T,12.919171124,77.642451715,877.9,
T,12.919179116,77.642457972,877.9,
T,12.919187107,77.642464230,877.9,
T,12.919195098,77.642470487,877.9,
T,12.919203089,77.642476745,877.9,
T,12.919211080,77.642483003,878.0,
T,12.919219072,77.642489260,878.0,
T,12.919227063,77.642495518,878.0,
T,12.919235054,77.642501775,878.0,
T,12.919243045,77.642508033,878.0,
T,12.919251036,77.642514290,878.1,
T,12.919259028,77.642520548,878.1,
T,12.919267019,77.642526805,878.1,
T,12.919275010,77.642533063,878.1,
T,12.919283001,77.642539320,878.2,
T,12.919290992,77.642545578,878.2,
T,12.919298984,77.642551835,878.2,
T,12.919306975,77.642558093,878.2,
T,12.919314966,77.642564351,878.3,
T,12.919322957,77.642570608,878.3,
T,12.919330948,77.642576866,878.3,
T,12.919338940,77.642583123,878.3,
T,12.919346931,77.642589381,878.4,
T,12.919354922,77.642595638,878.4,
T,12.919362913,77.642601896,878.4,
T,12.919370905,77.642608153,878.4,
T,12.919378896,77.642614411,878.4,
T,12.919386887,77.642620668,878.5,
T,12.919394878,77.642626926,878.5,
T,12.919402869,77.642633183,878.5,
T,12.919410861,77.642639441,878.5,
T,12.919418852,77.642645698,878.5,
T,12.919426843,77.642651956,878.6,
T,12.919434834,77.642658214,878.6,
T,12.919442825,77.642664471,878.6,
T,12.919450817,77.642670729,878.6,
T,12.919458808,77.642676986,878.6,
T,12.919466799,77.642683244,878.6,
T,12.919474790,77.642689501,878.7,
T,12.919482781,77.642695759,878.7,
T,12.919490773,77.642702016,878.7,
T,12.919498764,77.642708274,878.7,
T,12.919506755,77.642714531,878.7,
T,12.919514746,77.642720789,878.7,
T,12.919522737,77.642727046,878.7,
T,12.919530729,77.642733304,878.8,
T,12.919538720,77.642739562,878.8,
T,12.919546711,77.642745819,878.8,
T,12.919554702,77.642752077,878.8,
T,12.919562693,77.642758334,878.8,
T,12.919570685,77.642764592,878.8,
T,12.919578676,77.642770849,878.8,
T,12.919586667,77.642777107,878.8,
T,12.919594658,77.642783364,878.8,
T,12.919602649,77.642789622,878.8,
T,12.919610641,77.642795879,878.9,
T,12.919618632,77.642802137,878.9,
T,12.919626623,77.642808394,878.9,
T,12.919634614,77.642814652,878.9,
T,12.919642606,77.642820910,878.9,
T,12.919650597,77.642827167,878.9,
T,12.919658588,77.642833425,878.9,
T,12.919666579,77.642839682,878.9,
T,12.919674570,77.642845940,878.9,
T,12.919682562,77.642852197,878.9,
T,12.919690553,77.642858455,878.9,
T,12.919698544,77.642864712,878.9,
T,12.919706535,77.642870970,878.9,
T,12.919714526,77.642877227,878.9,
T,12.919722518,77.642883485,878.9,
T,12.919730509,77.642889742,878.9,
T,12.919738500,77.642896000,878.9,
T,12.918136500,77.641669500,878.5,
T,12.918144538,77.641675764,878.5,
T,12.918152575,77.641682028,878.5,
T,12.918160613,77.641688291,878.5,
T,12.918168651,77.641694555,878.4,
T,12.918176688,77.641700819,878.4,
T,12.918184726,77.641707083,878.4,
T,12.918192764,77.641713347,878.4,
T,12.918200802,77.641719611,878.4,
T,12.918208839,77.641725874,878.4,
T,12.918216877,77.641732138,878.4,
T,12.918224915,77.641738402,878.4,
T,12.918232952,77.641744666,878.4,
T,12.918240990,77.641750930,878.4,
T,12.918249028,77.641757193,878.4,
T,12.918257065,77.641763457,878.4,
T,12.918265103,77.641769721,878.4,
T,12.918273141,77.641775985,878.4,
T,12.918281178,77.641782249,878.4,
T,12.918289216,77.641788513,878.4,
T,12.918297254,77.641794776,878.4,
T,12.918305291,77.641801040,878.4,
T,12.918313329,77.641807304,878.4,
T,12.918321367,77.641813568,878.4,
T,12.918329405,77.641819832,878.4,
T,12.918337442,77.641826095,878.4,
T,12.918345480,77.641832359,878.4,
T,12.918353518,77.641838623,878.4,
T,12.918361555,77.641844887,878.4,
T,12.918369593,77.641851151,878.4,
T,12.918377631,77.641857415,878.4,
T,12.918385668,77.641863678,878.3,
T,12.918393706,77.641869942,878.3,
T,12.918401744,77.641876206,878.3,
T,12.918409781,77.641882470,878.3,
T,12.918417819,77.641888734,878.3,
T,12.918425857,77.641894997,878.3,
T,12.918433894,77.641901261,878.3,
T,12.918441932,77.641907525,878.3,
T,12.918449970,77.641913789,878.3,
T,12.918458008,77.641920053,878.3,
T,12.918466045,77.641926317,878.3,
T,12.918474083,77.641932580,878.3,
T,12.918482121,77.641938844,878.3,
T,12.918490158,77.641945108,878.3,
T,12.918498196,77.641951372,878.3,
T,12.918506234,77.641957636,878.3,
T,12.918514271,77.641963899,878.3,
T,12.918522309,77.641970163,878.3,
T,12.918530347,77.641976427,878.3,
T,12.918538384,77.641982691,878.3,
T,12.918546422,77.641988955,878.3,
T,12.918554460,77.641995219,878.3,
T,12.918562497,77.642001482,878.3,
T,12.918570535,77.642007746,878.2,
T,12.918578573,77.642014010,878.2,
T,12.918586611,77.642020274,878.2,
T,12.918594648,77.642026538,878.2,
T,12.918602686,77.642032802,878.2,
T,12.918610724,77.642039065,878.2,
T,12.918618761,77.642045329,878.2,
T,12.918626799,77.642051593,878.2,
T,12.918634837,77.642057857,878.2,
T,12.918642874,77.642064121,878.2,
T,12.918650912,77.642070384,878.2,
T,12.918658950,77.642076648,878.2,
T,12.918666987,77.642082912,878.2,
T,12.918675025,77.642089176,878.2,
T,12.918683063,77.642095440,878.2,
T,12.918691101,77.642101704,878.2,
T,12.918699138,77.642107967,878.2,
T,12.918707176,77.642114231,878.2,
T,12.918715214,77.642120495,878.2,
T,12.918723251,77.642126759,878.2,
T,12.918731289,77.642133023,878.2,
T,12.918739327,77.642139286,878.2,
T,12.918747364,77.642145550,878.2,
T,12.918755402,77.642151814,878.2,
T,12.918763440,77.642158078,878.1,
T,12.918771477,77.642164342,878.1,
T,12.918779515,77.642170606,878.1,
T,12.918787553,77.642176869,878.1,
T,12.918795590,77.642183133,878.1,
T,12.918803628,77.642189397,878.1,
T,12.918811666,77.642195661,878.1,
T,12.918819704,77.642201925,878.1,
T,12.918827741,77.642208188,878.1,
T,12.918835779,77.642214452,878.1,
T,12.918843817,77.642220716,878.1,
T,12.918851854,77.642226980,878.1,
T,12.918859892,77.642233244,878.1,
T,12.918867930,77.642239508,878.1,
